system,statistical_inefficiency_g,decorrelation_timescale_ps,n_eff_from_g,integrated_autocorrelation_time_ps,n_eff_from_tau_int,mean_rmsd_a,sem,ci_95_low,ci_95_high
4h2i,1.0,10.0,50005.0,5.0,50005.0,12185.234170930138,1213.6470736996685,9806.472037771806,14563.99630408847
4h2i_noadn,4406.125486880759,44061.25486880759,11.349200141687497,31684.449106800457,7.891252871628305,2.6088844188169564,0.06384550177309334,2.46727573066159,2.750493106972323
4h2g,5642.049021433061,56420.49021433061,8.862914839988203,31380.35489390779,7.967564447416115,1.2981777347688328,0.037958589127903355,1.2103787238991102,1.3859767456385554
4h2g_noadn,1313.6451829837224,13136.451829837224,38.06507316262097,6719.0648816991825,37.21053515660836,1.406108177411242,0.015153764086238369,1.3754055543202708,1.4368108005022133
6tve,1932.4406534262373,19324.406534262373,25.87712068225166,9920.864745992258,25.20244015029082,1.2068302429422393,0.02165804418839832,1.162213491473363,1.2514469944111155
6twa,2809.839660318271,28098.396603182708,7.11855565371811,15100.625367889072,6.622904519747084,2.457254122892218,0.08513156303473873,2.249919198449847,2.664589047334589
